Rank,Name,Platform,Year,Genre,Publisher,Global_Sales
6055,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,1991,Role-Playing,Angel Studios,0.29
857,SimCity,"SNES,PC",1991,Simulation,Nintendo,2.01
8577,SimEarth: The Living Planet,SNES,1991,Simulation,Imagineer,0.16
255,Sonic the Hedgehog,"GEN,PS3,X360",1991,Platform,Sega,7.05
7690,Super Baseball Simulator 1.000,SNES,1991,Sports,Culture Brain,0.2
3206,Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.63
4946,Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment,0.39
1718,Super Ghouls 'n Ghosts,"SNES,GBA",1991,Platform,Capcom,1.25
7096,Super R-Type,SNES,1991,Shooter,Nintendo,0.23
1796,Super R.C. Pro-Am,GB,1991,Racing,Nintendo,1.14
1110,Super Scope 6,SNES,1991,Shooter,Nintendo,1.65
4983,Super Soccer,SNES,1991,Sports,Nintendo,0.38
4585,Super Wagyan Land,SNES,1991,Action,Namco Bandai Games,0.42
12672,Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,Konami Digital Entertainment,0.06
1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1.39
5653,Tetris 2 + Bombliss,NES,1991,Puzzle,BPS,0.32
4099,The Legend of the Mystical Ninja,SNES,1991,Adventure,Konami Digital Entertainment,0.48
232,The Legend of Zelda: A Link to the Past,"SNES,GBA",1991,Action,Nintendo,7.31
9960,UN Squadron,SNES,1991,Shooter,Capcom,0.12
8836,World League Soccer,SNES,1991,Sports,Imagineer,0.15
1010,Yoshi,"NES,GB",1991,Puzzle,Nintendo,2.48
8619,Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0.16
9444,Contra III: The Alien Wars,SNES,1992,Shooter,Konami Digital Entertainment,0.13
3483,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0.58
532,Dragon Quest V: Tenkuu no Hanayome,"SNES,PS2",1992,Role-Playing,Enix Corporation,4.44
9798,Ecco the Dolphin,GEN,1992,Adventure,Sega,0.12
16076,Empire Deluxe,PC,1992,Strategy,New World Computing,0.01
6228,F-1 Grand Prix,SNES,1992,Racing,Video System,0.28
6200,F1 ROC: Race of Champions,SNES,1992,Sports,Ocean,0.28
4954,Fatal Fury,SNES,1992,Fighting,Takara,0.39
630,Final Fantasy V,"SNES,PS",1992,Role-Playing,SquareSoft,2.62
9563,Gunstar Heroes,GEN,1992,Shooter,Sega,0.13
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,5.13
745,Kirby's Pinball Land,GB,1992,Misc,Nintendo,2.19
546,Mario Paint,SNES,1992,Misc,Nintendo,2.75
2612,Mega Man 5,NES,1992,Platform,Capcom,0.79
829,NBA Jam,"GEN,SNES,Wii,PS2,X360,PS3,XB",1992,Sports,Arena Entertainment,5.22
8531,Otogirisou,SNES,1992,Adventure,ChunSoft,0.16
6090,Romance of the Three Kingdoms III: Dragon of Destiny,SNES,1992,Strategy,Tecmo Koei,0.29
2144,Romancing SaGa,"SNES,PS2",1992,Role-Playing,SquareSoft,1.55
767,SimCity 2000,"PC,PS,SNES,SAT,GBA",1992,Simulation,Maxis,4.24
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,6.03
13527,Sonic the Hedgehog 2 (8-bit),GG,1992,Platform,Sega,0.04
286,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,4.1
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,6.3
1101,Street Fighter II': Special Champion Edition,GEN,1992,Fighting,Sega,1.66
7187,Super Adventure Island,SNES,1992,Platform,Hudson Soft,0.22
4242,Super Batter Up,SNES,1992,Sports,Namco Bandai Games,0.46
3546,Super Bomberman,SNES,1992,Puzzle,Hudson Soft,0.57
77,Super Mario Kart,SNES,1992,Racing,Nintendo,8.76
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,11.18
11987,Teenage Mutant Ninja Turtles: Tournament Fighters,"NES,SNES",1992,Fighting,Konami Digital Entertainment,0.13
1610,Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,1.24
7067,Tetris 2 (weekly jp sales),GB,1992,Puzzle,Nintendo,0.23
2635,The 7th Guest,PC,1992,Adventure,Virgin Interactive,0.78
319,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,3.83
1659,The Magical Quest starring Mickey Mouse,SNES,1992,Platform,Capcom,1.21
1078,Yoshi's Cookie,"GB,NES",1992,Puzzle,Nintendo,2.8
13313,Beyond Oasis,GEN,1993,Role-Playing,Sega,0.05
6308,Bishoujo Senshi Sailormoon R,SNES,1993,Fighting,Namco Bandai Games,0.27
2594,Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0.8
10261,Classic Road,"SNES,PS",1993,Sports,Victor Interactive,0.18
4244,Crayon Shin-Chan: Arashi o Yobu Enji,SNES,1993,Platform,Namco Bandai Games,0.46
1011,Disney's Aladdin,"SNES,GBA",1993,Platform,Capcom,1.78
12929,Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,Epoch,0.05
1327,Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,1.45
1676,Dragon Ball Z: La Legende Saien,SNES,1993,Fighting,Namco Bandai Games,1.2
2797,Dragon Ball Z: Ultime Menace,SNES,1993,Fighting,Namco Bandai Games,0.73
1779,Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,1.15
12947,Dynamite Headdy,GEN,1993,Platform,Sega,0.05
11953,Ecco: The Tides of Time,GEN,1993,Adventure,Sega,0.07
4365,Fatal Fury 2,SNES,1993,Fighting,Takara,0.45
2035,Final Fight 2,SNES,1993,Action,Capcom,1.02
5801,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,Platform,Konami Digital Entertainment,0.31
9931,Harukanaru Augusta 2: Masters,SNES,1993,Sports,T&E Soft,0.12
9463,Illusion of Gaia,SNES,1993,Role-Playing,Nintendo,0.13
2958,J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0.69
7771,Jissen Pachi-Slot Hisshouhou,SNES,1993,Misc,Sammy Corporation,0.19
5206,Jurassic Park,NES,1993,Action,Ocean,0.36
13149,Keiba Eight Special,SNES,1993,Sports,Misawa,0.05
1012,Kirby's Adventure,NES,1993,Platform,Nintendo,1.75
11129,Lethal Enforcers,SNES,1993,Shooter,Konami Digital Entertainment,0.09
4043,Mario & Wario,SNES,1993,Puzzle,Nintendo,0.49
3846,Mega Man 6,NES,1993,Platform,Capcom,0.52
8069,Mega Man Soccer,SNES,1993,Sports,Capcom,0.18
1753,Mega Man X,SNES,1993,Platform,Capcom,1.16
3593,Mega Man X2,SNES,1993,Platform,Laguna,0.56
889,Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1.93
12111,Ninja Warriors,SNES,1993,Action,Titus,0.07
3238,Nobunaga no Yabou: Haouden,SNES,1993,Strategy,Tecmo Koei,0.62
12958,Pachinko Wars II,SNES,1993,Misc,Coconuts Japan,0.05
12654,Pop'n TwinBee: Rainbow Bell Adventure,SNES,1993,Platform,Konami Digital Entertainment,0.06
10333,Ranma 1/2: Akanekodan Teki Hihou,SNES,1993,Role-Playing,TOHO,0.11
16108,Rock N' Roll Racing,SNES,1993,Racing,Interplay,0.01
1731,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,1.17
7303,Sailor Moon,SNES,1993,Action,Namco Bandai Games,0.22
950,Secret of Mana,SNES,1993,Role-Playing,SquareSoft,1.83
5668,Shin Momotarou Densetsu,SNES,1993,Role-Playing,Hudson Soft,0.32
7912,Shining Force II,GEN,1993,Strategy,Sega,0.19
1263,Sonic CD,SCD,1993,Platform,Sega,1.5
473,Star Fox,SNES,1993,Shooter,Nintendo,2.99
12067,Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993,Action,Capcom,0.07
12233,Streets of Rage 3,GEN,1993,Action,Sega,0.07
5293,Stunt Race FX,SNES,1993,Racing,Nintendo,0.35
12291,Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993,Misc,Imax,0.06
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,10.55
8426,Super Power League,SNES,1993,Sports,Hudson Soft,0.17
1056,Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,1.7
851,Super Street Fighter II,"SNES,GEN",1993,Fighting,Nintendo,2.15
2113,Tetris 2,NES,1993,Puzzle,Nintendo,0.98
9198,The King of Fighters '94 (CD),NG,1993,Fighting,SNK,0.14
7931,Thoroughbred Breeder,SNES,1993,Simulation,Hect,0.19
2653,Torneko no Daibouken: Fushigi no Dungeon,SNES,1993,Role-Playing,ChunSoft,0.78
3782,Virtual Soccer,SNES,1993,Sports,Hudson Soft,0.53
3784,Winning Post,SNES,1993,Sports,Tecmo Koei,0.53
5176,Yuu Yuu Hakusho,SNES,1993,Fighting,Namco Bandai Games,0.36
6643,A. IV Evolution: A Ressha de Ikou 4,PS,1994,Strategy,ArtDink,0.25
1569,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,1.27
9901,Battle Arena Toshinden Remix,SAT,1994,Fighting,Sega,0.12
9921,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Fighting,Angel Studios,0.12
5219,Breath of Fire II,"SNES,GBA",1994,Role-Playing,Laguna,0.55
14999,Bust-A-Move,3DO,1994,Puzzle,Micro Cabin,0.02
14095,Castlevania Bloodlines,GEN,1994,Platform,Konami Digital Entertainment,0.04
9987,Center Ring Boxing,SAT,1994,Fighting,JVC,0.12
11089,Clockwork Knight,SAT,1994,Platform,Sega,0.09
10674,Crime Crackers,PS,1994,Role-Playing,Sony Computer Entertainment,0.1
5883,Daikaijyuu Monogatari,SNES,1994,Role-Playing,Hudson Soft,0.3
3638,Daytona USA,SAT,1994,Racing,Sega,0.55
5870,Decathlete,SAT,1994,Sports,Sega,0.3
11837,Derby Jockey: Kishou e no Michi,SNES,1994,Sports,Asmik Corp,0.07
2381,Derby Stallion II,SNES,1994,Sports,ASCII Entertainment,0.87
12265,Discworld,PS,1994,Adventure,Psygnosis,0.06
970,Disney's The Lion King,"SNES,GEN",1994,Platform,Virgin Interactive,3.2
456,Donkey Kong,"GB,2600,NES",1994,Platform,Nintendo,5.66
72,Donkey Kong Country,"SNES,GB,GBA",1994,Platform,Nintendo,13.53
306,Donkey Kong Land,GB,1994,Platform,Nintendo,3.91
2636,Doom,"PS,GBA,PC",1994,Shooter,Infogrames,0.95
354,Doom II: Hell on Earth,"PC,GBA",1994,Shooter,Virgin Interactive,3.65
11642,Dragon Slayer: The Legend of Heroes,"GEN,SNES",1994,Role-Playing,Sega,0.15
7537,Drift King Shutokou Battle '94,SNES,1994,Racing,BPS,0.2
2552,EarthBound,SNES,1994,Role-Playing,Nintendo,0.81
5016,ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment,0.38
8126,F1 Challenge,SAT,1994,Racing,Sega,0.18
3611,Fatal Fury Special,SNES,1994,Fighting,Takara,0.56
10311,Final Fantasy I & II,NES,1994,Role-Playing,Square,0.11
390,Final Fantasy III,"SNES,DS,NES,PSP",1994,Role-Playing,SquareSoft,7.05
2940,Fire Emblem: Monsh? no Nazo,SNES,1994,Role-Playing,Nintendo,0.7
14221,First Queen: Ornic Senki,SNES,1994,Role-Playing,Culture Brain,0.03
11753,Formula One World Championship: Beyond the Limit,SCD,1994,Racing,Sega,0.07
14233,Gaia Saver Hero Saidai no Sakusen,SNES,1994,Role-Playing,Banpresto,0.03
6633,Galactic Attack,SAT,1994,Shooter,Acclaim Entertainment,0.25
13973,Galaxy Fight,SAT,1994,Fighting,Sunsoft,0.04
11740,Gale Racer,SAT,1994,Racing,Sega,0.07
13454,Game no Kanzume Vol 1,SCD,1994,Misc,Sega,0.05
12973,Game no Kanzume Vol 2,SCD,1994,Misc,Sega,0.05
5254,Ganbare Goemon 3: Shishi Jyuurokubei no Karakuri Manji Katame,SNES,1994,Platform,Konami Digital Entertainment,0.36
8102,Gokujou Parodius,SNES,1994,Shooter,Konami Digital Entertainment,0.18
13245,Golden Axe: The Duel,SAT,1994,Fighting,Sega,0.05
13143,Hisshou 777 Fighter: Pachi Slot Eiyu Densetsu,SNES,1994,Misc,Vap,0.05
6119,International Superstar Soccer,SNES,1994,Sports,Konami Digital Entertainment,0.28
6004,Itadaki Street 2: Neon Sign wa Bara Iro ni,SNES,1994,Misc,Enix Corporation,0.29
14036,J-League Pro Striker 2,GEN,1994,Sports,Sega,0.04
3814,J-League Soccer: Prime Goal 2,SNES,1994,Sports,Namco Bandai Games,0.53
4769,Jikkyou Powerful Pro Yakuu '94,SNES,1994,Sports,Konami Digital Entertainment,0.41
10091,Jikkyou Powerful Pro Yakyuu '95,PS,1994,Sports,Konami Digital Entertainment,0.11
10356,Jupiter Strike,PS,1994,Shooter,Acclaim Entertainment,0.11
2536,Kamaitachi no Yoru,SNES,1994,Adventure,ChunSoft,0.81
11884,Kenyuu Densetsu Yaiba,SNES,1994,Action,Banpresto,0.07
14664,Kidou Senshi V Gundam,SNES,1994,Action,Namco Bandai Games,0.03
5103,Kileak: The DNA Imperative,PS,1994,Shooter,Sony Computer Entertainment,0.37
